date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:11	2458/2458	---M--	200	added ('OK')	image/png	etag:%2299a-5617846eb032c%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/Ellipse%203.png	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/Ellipse%203.png	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:54:15	91153/91153	---M--	200	added ('OK')	image/jpeg	etag:%2216411-56178450d1079%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/CloitreBatimentTour.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/CloitreBatimentTour.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:54:28	206779/206779	---M--	200	added ('OK')	image/jpeg	etag:%22327bb-5617844ca89df%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/CatheTroisQuart.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/CatheTroisQuart.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:54:28	109161/109161	---M--	200	added ('OK')	image/jpeg	etag:%221aa69-5617847f2fab7%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/GifCamino.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/GifCamino.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:54:31	178319/178319	---M--	200	added ('OK')	image/jpeg	etag:%222b88f-56178454a47bf%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/CloitreEntree.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/CloitreEntree.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:54:32	108074/108074	---M--	200	added ('OK')	image/jpeg	etag:%221a62a-56178482b5faa%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/GifFontaine.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/GifFontaine.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:54:45	107772/107772	---M--	200	added ('OK')	image/jpeg	etag:%221a4fc-5617848650cba%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/GifFumee.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/GifFumee.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:54:55	147604/147604	---M--	200	added ('OK')	image/jpeg	etag:%2224094-561785170f0b5%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/LacBleuEnvirontNeige.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/LacBleuEnvirontNeige.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:54:58	183370/183370	---M--	200	added ('OK')	image/jpeg	etag:%222cc4a-56178511cb708%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/LacBleuCheminEnviront.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/LacBleuCheminEnviront.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:55:06	49043/49043	---M--	200	added ('OK')	image/jpeg	etag:%22bf93-561785439317e%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/RM%20photo%20internet.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/RM%20photo%20internet.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:55:16	186805/186805	---M--	200	added ('OK')	image/jpeg	etag:%222d9b5-5617852c503e2%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/LacBleuNature.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/LacBleuNature.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:55:18	15641/15641	---M--	200	added ('OK')	image/jpeg	etag:%223d19-5617855141e3a%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/SKIDEFOND%20photo%20internet.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/SKIDEFOND%20photo%20internet.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:55:34	174552/174552	---M--	200	added ('OK')	image/jpeg	etag:%222a9d8-56178543a893b%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/RiviereTherme.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/RiviereTherme.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:55:48	84499/84499	---M--	200	added ('OK')	image/jpeg	etag:%2214a13-56178550604fe%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/Sante-burgomcollaslug.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/Sante-burgomcollaslug.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:56:15	165492/165492	---M--	200	added ('OK')	image/jpeg	etag:%2228674-56178554fa005%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/ViergePlace.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/ViergePlace.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
12:56:30	89943/89943	---M--	200	added ('OK')	image/jpeg	etag:%2215f57-56178558ad3b1%22	http://web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/Vinyl-Record-and-Cover-Presentation-Mock-up-lg.jpg	D:/Utilisateurs/Bureau/test_1/WeebWeek/web-week-2017-diablo.tp.mmi-lepuy.fr/uploads/Vinyl-Record-and-Cover-Presentation-Mock-up-lg.jpg	(from http://web-week-2017-diablo.tp.mmi-lepuy.fr/admin/pages/edit-page.php?state=new)
